Year,OBJECTID,GEOID,Tract Label,Tract Name,Community Reporting Area Name,Community Reporting Area ID,Tract Median Apartment Contract Rent per Square Foot,Tract Median Apartment Contract Rent per Unit,Year over Year Change in Rent per Square Foot,Year over Year Change in Rent per Unit,Cost Category,Year over Year Change in Rent Category,Mixed-Rate or Mixed-Income Apartments in Tract,PROPERTIES,Shape__Area,Shape__Length
2001,62,53033005801,58.01,Census Tract 58.01,Interbay,12.2,1.49,1296,642.857.142.857.143,640.394.088.669.951,Medium,Stable,1036,43,196.184.242.433.472,255.000.139.546.944
2001,63,53033007406,74.06,Census Tract 74.06,Capitol Hill,6.2,02.02,1046,520.833.333.333.334,512.562.814.070.352,Medium,Stable,1078,41,162.344.382.748.413,676.447.724.113.477
2001,64,53033007405,74.05,Census Tract 74.05,Capitol Hill,6.2,1.99,1084,52.910.052.910.053,534.499.514.091.351,Medium,Stable,1279,47,141.897.404.168.701,501.279.869.002.574
2001,65,53033009701,97.01,Census Tract 97.01,Alki/Admiral,1.4,1.49,1265,492.957.746.478.874,541.666.666.666.667,Medium,Stable,395,35,192.911.721.184.692,29.764.000.341.636
2001,66,53033009600,96,Census Tract 96,Alki/Admiral,1.4,1.41,1142,522.388.059.701.491,515.653.775.322.284,Low,Stable,432,32,197.415.016.534.882,207.454.059.998.832
2001,67,53033008700,87,Census Tract 87,Central Area/Squire Park,5.3,1.87,1087,50.561.797.752.809,522.749.273.959.342,Medium,Stable,495,40,78.830.131.696.167,114.323.842.123.557
2001,68,53033011402,114.02,Census Tract 114.02,Roxhill/Westwood,2.4,1.63,969,516.129.032.258.064,521.172.638.436.482,Low,Stable,405,23,127.792.778.645.477,17.351.055.007.292
2001,69,53033011200,112,Census Tract 112,South Park,3.1,0.92,563,454.545.454.545.455,503.731.343.283.582,Low,Stable,175,15,264.638.900.310.974,270.023.375.751.905
2001,70,53033010900,109,Census Tract 109,Georgetown,3.2,1.74,874,481.927.710.843.374,504.807.692.307.692,Low,Stable,137,13,516.771.227.107.849,449.787.538.438.156
2001,71,53033011002,110.02,Census Tract 110.02,South Beacon Hill/NewHolly,3.4,0,0,0,0,0,0,0,0,185.089.084.571.838,225.111.267.649.617
2001,72,53033011102,111.02,Census Tract 111.02,Seward Park,4.3,01.05,707,0.05,536.512.667.660.209,Low,Stable,429,19,139.700.266.890.106,204.111.700.649.139
2001,73,53033010702,107.02,Census Tract 107.02,High Point,2.2,0,0,0,0,0,0,0,0,839.692.679.307.556,149.359.302.412.484
2001,74,53033001100,11,Census Tract 11,Olympic Hills/Victory Heights,8.2,0.92,699,574.712.643.678.161,542.986.425.339.367,Low,Stable,188,11,114.163.995.888.062,141.591.273.465.597
2001,75,53033000700,7,Census Tract 7,Olympic Hills/Victory Heights,8.2,1.35,962,465.116.279.069.768,479.302.832.244.009,Low,Stable,755,53,139.322.423.934.631,161.340.299.149.422
2001,76,53033000202,02.02,Census Tract 2.02,Olympic Hills/Victory Heights,8.2,1.18,942,630.630.630.630.629,596.175.478.065.242,Low,Stable,187,6,159.301.184.908.752,172.858.273.694.368
2001,77,53033000101,01.01,Census Tract 1.01,Cedar Park/Meadowbrook,8.3,1.24,890,508.474.576.271.187,532.544.378.698.225,Low,Stable,937,33,446.505.888.146.973,866.207.421.505.589
2001,78,53033003301,33.01,Census Tract 33.01,Whittier Heights,10.2,1.84,1125,514.285.714.285.715,523.854.069.223.573,Medium,Stable,525,58,720.285.849.346.924,111.771.813.262.219
2001,79,53033003602,36.02,Census Tract 36.02,Green Lake,9.4,2.11,1230,549.999.999.999.999,512.820.512.820.513,High,Stable,540,40,562.188.608.477.783,114.710.943.824.279
2001,80,53033001900,19,Census Tract 19,Northgate/Maple Leaf,8.1,1.75,1290,542.168.674.698.796,513.447.432.762.836,Medium,Stable,129,8,179.451.715.240.173,189.484.812.689.278
2001,81,53033001702,17.02,Census Tract 17.02,Greenwood/Phinney Ridge,9.3,1.77,1244,473.372.781.065.089,506.756.756.756.757,Medium,Stable,322,20,137.792.757.612.915,174.764.075.143.324
2001,82,53033006500,65,Census Tract 65,North Capitol Hill,6.3,1.89,1252,558.659.217.877.094,529.857.022.708.158,Medium,Stable,940,73,123.522.577.561.951,179.215.013.322.026
2001,83,53033006200,62,Census Tract 62,Montlake/Portage Bay,7.1,0,0,0,0,0,0,0,0,246.106.197.424.011,400.105.992.573.485
2001,84,53033005305,53.05,Census Tract 53.05,University District,7.2,1.98,966,531.914.893.617.022,534.351.145.038.168,Medium,Stable,1161,46,229.223.661.618.042,604.860.922.233.999
2001,85,53033002600,26,Census Tract 26,Ravenna/Bryant,7.3,02.08,1288,558.375.634.517.767,522.875.816.993.464,High,Stable,191,5,133.980.401.758.728,15.933.937.900.155
2001,86,53033002000,20,Census Tract 20,Northgate/Maple Leaf,8.1,1.39,1026,530.303.030.303.029,53.388.090.349.076,Low,Stable,206,9,121.838.788.231.506,155.095.457.092.747
2001,87,53033006300,63,Census Tract 63,Madison Park,6.5,1.5,1143,48.951.048.951.049,544.280.442.804.428,Medium,Stable,578,20,277.503.333.955.383,362.858.489.218.384
2001,88,53033006600,66,Census Tract 66,Cascade/Eastlake,11.3,1.83,1221,517.241.379.310.345,534.943.917.169.974,Medium,Stable,1160,80,111.102.968.534.851,219.951.062.951.424
2001,89,53033006900,69,Census Tract 69,Queen Anne,12.3,1.6,1051,526.315.789.473.685,541.624.874.623.872,Low,Stable,468,34,974.217.664.987.183,156.665.439.544.695
2001,90,53033006000,60,Census Tract 60,Queen Anne,12.3,1.88,1395,502.793.296.089.385,536.253.776.435.045,High,Stable,668,56,141.587.647.126.465,191.230.326.298.116
2001,91,53033005201,52.01,Census Tract 52.01,Wallingford,11.2,2.29,1055,55.299.539.170.507,528.942.115.768.463,Medium,Stable,269,19,753.663.248.083.496,141.759.240.617.134
2001,92,53033005000,50,Census Tract 50,Wallingford,11.2,1.99,1253,52.910.052.910.053,520.570.948.782.536,Medium,Stable,748,60,815.194.229.489.136,11.560.148.011.522
2001,93,53033008600,86,Census Tract 86,First Hill,6.1,2.16,1181,53.658.536.585.366,544.642.857.142.857,Medium,Stable,997,45,765.661.662.564.087,116.407.206.126.296
2001,94,53033008002,80.02,Census Tract 80.02,Belltown,13.1,2.5,1801,504.201.680.672.269,513.718.622.300.058,High,Stable,1126,14,252.202.980.825.806,799.838.246.587.977
2001,95,53033007901,79.01,Census Tract 79.01,Central Area/Squire Park,5.3,1.95,1233,54.054.054.054.054,529.461.998.292.058,Medium,Stable,709,45,287.629.950.189.209,787.940.433.949.822
2001,96,53033007202,72.02,Census Tract 72.02,Cascade/Eastlake,11.3,2.51,1839,546.218.487.394.958,520.594.965.675.057,High,Stable,559,10,302.007.566.329.956,759.170.188.344.636
2001,97,53033007301,73.01,Census Tract 73.01,Cascade/Eastlake,11.3,2.22,1560,521.327.014.218.011,512.129.380.053.908,High,Stable,265,6,269.934.410.806.274,742.261.069.281.975
2001,98,53033010302,103.02,Census Tract 103.02,Columbia City,4.2,02.04,1431,515.463.917.525.774,522.058.823.529.412,High,Stable,259,17,680.441.875.059.509,112.672.532.000.827
2001,99,53033009100,91,Census Tract 91,Pioneer Square/International District,13.3,2.14,1357,541.871.921.182.268,51.937.984.496.124,High,Stable,571,12,441.968.526.577.759,106.083.854.115.205
2001,100,53033009200,92,Census Tract 92,Pioneer Square/International District,13.3,2.11,1240,549.999.999.999.999,526.315.789.473.684,High,Stable,321,10,345.608.855.044.556,126.871.211.893.969
2001,101,53033011700,117,Census Tract 117,South Beacon Hill/NewHolly,3.4,0,0,0,0,0,0,0,0,378.260.362.597.046,294.396.267.373.345
2001,102,53033000500,5,Census Tract 5,Broadview/Bitter Lake,9.1,0,0,0,0,0,0,0,0,302.947.410.541.992,270.945.667.843.899
2001,103,53033000601,06.01,Census Tract 6.01,Haller Lake,9.5,1.24,871,508.474.576.271.187,456.182.472.989.196,Low,Stable,569,15,154.049.525.828.857,200.789.564.759.328
2001,104,53033003500,35,Census Tract 35,Greenwood/Phinney Ridge,9.3,1.93,972,546.448.087.431.693,530.877.573.131.094,Medium,Stable,274,22,138.280.616.665.344,166.343.489.620.973
2001,105,53033001500,15,Census Tract 15,North Beach/Blue Ridge,10.1,0.77,890,547.945.205.479.453,532.544.378.698.225,Low,Stable,59,4,12.300.447.062.561,139.603.795.463.703
2001,106,53033001400,14,Census Tract 14,North Beach/Blue Ridge,10.1,1.27,1012,495.867.768.595.042,530.697.190.426.639,Low,Stable,440,22,230.733.886.559.448,305.363.374.485.091
2001,107,53033001300,13,Census Tract 13,Licton Springs,9.2,1.36,851,461.538.461.538.462,519.159.456.118.665,Low,Stable,799,64,127.100.369.901.733,148.810.870.453.396
2001,108,53033003800,38,Census Tract 38,Ravenna/Bryant,7.3,2.31,1220,547.945.205.479.453,544.511.668.107.174,High,Stable,159,6,672.279.139.416.504,103.925.315.540.704
2001,109,53033007001,70.01,Census Tract 70.01,Queen Anne,12.3,1.77,1056,535.714.285.714.286,528.414.755.732.802,Medium,Stable,1374,50,385.629.005.014.038,953.030.256.857.274
2001,110,53033004800,48,Census Tract 48,Fremont,11.1,02.03,1178,518.134.715.025.906,499.108.734.402.852,Medium,Stable,216,25,138.338.868.196.411,188.222.365.726.525
2001,111,53033005100,51,Census Tract 51,Wallingford,11.2,2.62,1157,522.088.353.413.654,537.340.619.307.832,High,Stable,248,22,949.035.015.280.151,134.625.915.467.426
2001,112,53033008200,82,Census Tract 82,First Hill,6.1,2.41,1831,524.017.467.248.909,529.039.677.975.848,High,Stable,810,11,404.477.382.589.722,91.021.403.414.799
2001,113,53033010101,101.01,Census Tract 101.01,Columbia City,4.2,2.18,1002,531.400.966.183.576,525.210.084.033.613,Medium,Stable,177,8,938.181.013.056.946,153.116.567.050.508
2001,114,53033012100,121,Census Tract 121,Arbor Heights,1.1,0,0,0,0,0,0,0,0,185.389.009.337.463,259.836.162.383.482
2001,115,53033011901,119.01,Census Tract 119.01,Rainier Beach,4.1,0,0,0,0,0,0,0,0,180.976.407.372.589,204.856.455.423.004
2001,116,53033000602,06.02,Census Tract 6.02,Haller Lake,9.5,1.13,959,462.962.962.962.961,401.301.518.438.178,Low,Stable,326,8,259.475.078.614.197,232.217.047.501.309
2001,117,53033000201,02.01,Census Tract 2.01,Olympic Hills/Victory Heights,8.2,1.12,914,566.037.735.849.057,542.099.192.618.224,Low,Stable,836,12,194.461.763.249.207,186.515.780.841.956
2001,118,53033003302,33.02,Census Tract 33.02,Whittier Heights,10.2,1.59,1006,529.801.324.503.312,523.012.552.301.255,Low,Stable,446,51,674.933.648.599.243,105.508.179.265.194
2001,119,53033005304,53.04,Census Tract 53.04,University District,7.2,0,0,0,0,0,0,0,0,786.047.098.052.979,408.312.606.626.598
2001,120,53033004202,42.02,Census Tract 42.02,Ravenna/Bryant,7.3,2.25,1537,563.380.281.690.141,527.397.260.273.973,High,Stable,54,5,131.416.884.516.602,156.516.663.663.576
2001,121,53033007404,74.04,Census Tract 74.04,Capitol Hill,6.2,1.96,1143,53.763.440.860.215,534.562.211.981.567,Medium,Stable,1161,60,165.457.982.751.465,577.569.998.668.964
2001,122,53033006701,67.01,Census Tract 67.01,Queen Anne,12.3,2.43,1820,474.137.931.034.484,514.153.668.399.769,High,Stable,300,12,36.398.331.784.668,121.437.792.365.382
2001,123,53033007800,78,Census Tract 78,Madrona/Leschi,5.1,0,0,0,0,0,0,0,0,22.245.158.163.269,287.463.735.215.772
2001,124,53033007503,75.03,Census Tract 75.03,Capitol Hill,6.2,2.41,1553,524.017.467.248.909,51.455.653.351.388,High,Stable,316,13,201.861.436.813.354,648.438.948.226.953
2001,125,53033007201,72.01,Census Tract 72.01,Cascade/Eastlake,11.3,2.2,1462,426.540.284.360.191,427.960.057.061.341,High,Stable,1675,12,162.255.890.014.648,58.732.165.106.452
2001,126,53033007203,72.03,Census Tract 72.03,Cascade/Eastlake,11.3,2.72,1940,501.930.501.930.503,514.905.149.051.491,High,Stable,162,7,623.880.494.293.213,124.939.648.041.578
2001,127,53033010301,103.01,Census Tract 103.01,Columbia City,4.2,1.25,1115,504.201.680.672.269,528.800.755.429.651,Low,Stable,52,4,107.922.624.648.438,169.243.685.147.596
2001,128,53033009900,99,Census Tract 99,North Delridge,2.1,1.72,1022,424.242.424.242.425,439.223.697.650.664,Medium,Stable,470,17,70.254.374.707.016,646.336.615.792.341
2001,129,53033009500,95,Census Tract 95,Mt. Baker/North Rainier,4.4,2.11,981,549.999.999.999.999,537.056.928.034.372,Medium,Stable,128,11,274.243.056.749.573,296.182.112.966.095
2001,130,53033009400,94,Census Tract 94,North Beacon Hill/Jefferson Park,3.6,2.32,1293,497.737.556.561.085,512.195.121.951.219,High,Stable,509,52,181.506.256.758.423,188.745.831.831.158
2001,131,53033011801,118.01,Census Tract 118.01,Rainier Beach,4.1,1.11,776,571.428.571.428.572,543.478.260.869.565,Low,Stable,268,13,126.711.735.070.038,158.498.135.377.743
2001,132,53033011602,116.02,Census Tract 116.02,Fauntleroy/Seaview,1.2,1.21,843,521.739.130.434.783,511.221.945.137.157,Low,Stable,113,13,169.241.732.272.644,247.040.405.747.324
2001,133,53033011401,114.01,Census Tract 114.01,Roxhill/Westwood,2.4,1.2,1050,256.410.256.410.257,284.035.259.549.461,Low,Stable,565,6,132.733.691.432.037,174.780.591.593.666
2001,134,53033010701,107.01,Census Tract 107.01,High Point,2.2,0.97,839,43.010.752.688.172,422.360.248.447.205,Low,Stable,199,4,15.726.285.722.641,213.023.651.802.902
2001,135,53033010602,106.02,Census Tract 106.02,Fauntleroy/Seaview,1.2,1.38,910,534.351.145.038.167,532.407.407.407.407,Low,Stable,317,20,154.620.140.646.667,237.749.471.378.089
2001,136,53033000900,9,Census Tract 9,Cedar Park/Meadowbrook,8.3,0,0,0,0,0,0,0,0,100.311.588.856.812,208.281.661.958.069
2001,137,53033000402,04.02,Census Tract 4.02,Broadview/Bitter Lake,9.1,1.29,871,487.804.878.048.781,506.634.499.396.864,Low,Stable,485,28,193.622.205.229.187,213.971.752.981.976
2001,138,53033000300,3,Census Tract 3,Haller Lake,9.5,01.05,799,0.05,54.089.709.762.533,Low,Stable,83,7,130.338.645.966.187,172.980.295.354.457
2001,139,53033003202,32.02,Census Tract 32.02,Sunset Hill/Loyal Heights,10.3,1.78,1220,532.544.378.698.225,526.315.789.473.684,Medium,Stable,344,34,102.898.184.570.313,129.453.948.643.709
2001,140,53033003000,30,Census Tract 30,Whittier Heights,10.2,1.84,1152,514.285.714.285.715,510.948.905.109.489,Medium,Stable,177,23,160.722.220.088.196,16.061.947.620.856
2001,141,53033001701,17.01,Census Tract 17.01,Greenwood/Phinney Ridge,9.3,2.16,1359,53.658.536.585.366,534.883.720.930.233,High,Stable,377,27,960.902.608.453.369,171.644.547.776.423
2001,142,53033001600,16,Census Tract 16,North Beach/Blue Ridge,10.1,2.34,1386,540.540.540.540.539,531.914.893.617.021,High,Stable,143,11,205.753.927.101.746,231.476.459.804.202
2001,143,53033002100,21,Census Tract 21,Wedgwood/View Ridge,7.4,2.52,1024,543.933.054.393.305,52.415.210.688.592,High,Stable,188,16,146.967.967.441.101,161.399.218.598.102
2001,144,53033003900,39,Census Tract 39,Wedgwood/View Ridge,7.4,1.32,901,56,538.011.695.906.433,Low,Stable,108,8,104.813.349.800.415,132.009.092.050.947
2001,145,53033007102,71.02,Census Tract 71.02,Queen Anne,12.3,2.25,1461,-546.218.487.394.958,-512.987.012.987.013,High,Decline,577,19,36.155.008.977.356,114.999.407.456.685
2001,146,53033006702,67.02,Census Tract 67.02,Queen Anne,12.3,2.4,1645,480.349.344.978.165,517.902.813.299.233,High,Stable,388,31,328.014.799.505.615,85.938.649.046.644
2001,147,53033005401,54.01,Census Tract 54.01,Fremont,11.1,2.22,1419,521.327.014.218.011,503.330.866.025.167,High,Stable,361,32,789.227.058.761.597,1.974.010.787.087
2001,148,53033008004,80.04,Census Tract 80.04,Belltown,13.1,2.2,1706,476.190.476.190.477,504.926.108.374.384,High,Stable,738,7,290.832.663.348.389,149.449.795.882.911
2001,149,53033008003,80.03,Census Tract 80.03,Belltown,13.1,2.43,1576,51.948.051.948.052,513.675.783.855.904,High,Stable,402,7,212.204.371.142.578,872.099.942.149.515
2001,150,53033008402,84.02,Census Tract 84.02,Capitol Hill,6.2,2.1,1298,0.05,518.638.573.743.922,High,Stable,1187,40,156.550.771.533.203,522.086.848.686.108
